#this is a comment
#for a word based response keyword1,keyword2,...,keywordN:response|question_word_limit
#for a formula based response keyword1,keyword2,...,keywordN\formula|question_word_limit
#"`" <- acts like a newline for the response
#the following questions made by Emmett Jonke and Benjamin Currie
what,is,number:a measurement of quantity|6
quadratic,formula\[x=(-b+sqrt(b^2-4*a*c))/(2*a),x=(-b-sqrt(b^2-4*a*c))/(2*a)]|8
what,quadratic\a*x^2+b*x+c|8
what,cubic\a*x^3+b*x^2+c*x+d|8
momentum\m*v|5
what,acceleration:second derivative of position with respect to time|5
what,velocity:first derivative of position with respect to time|5
help:Supported Math functions`sin,cos,tan`diff(#expr,#var) for derivative`integrate(#expr,#var) for anti-derivatuve`integrateOver(#left-bound,#right-bound,#expr,#var)`solve(#eq,#var) for solving an equation`distr(#expr) distributes an expression`factor(#expr) to factor an expression`approx(#expr,[#variable-defs-list]) to approximate expression|3
what,point:a single location in space|7
what,line,segment:a section of a line between two points on that line|7
what,line:a straight one-dimensional figure with no thickness, extending infinitely in two directions|7
what,ray:a line that extends infinitely in one direction but ends at a single point in the other|7
what,angle:a point from which two rays (or line segments) extend from|7
what,acute:an angle measured less than 90 degrees|8
what,obtuse:an angle measured more than 90 degrees|8
what,right,angle:an angle measured exactly 90 degrees|8
what,perpendicular:two intersecting lines that form a right angle|8
what,parallel:two lines in Euclidean spaces that never intersect and never diverge|8
what,5th,postulate:no. No no no no no. Don’t go down that path.|5
what,polygon:a closed figure in 2d space bounded by line segments and angles|7
what,polytope:a closed figure in space bounded by lines segments, planes, hyperplanes, or others. An n-dimensional generalization of a polygon, polyhedron, polychoron, etc.|7
what,polyhedron:a closed figure in 3d space bounded by faces and edges.|7
what,polychoron:a closed figure in 4d space bounded by cells and faces|7
what,area,triangle\(b*h)/2|10
what,triangle:a polygon with 3 sides and angles|7
what,quadrilateral:a polygon with 4 sides and angles|7
what,area,rectangle\b*h|10
what,rectangle:a quadrilateral with only right angles and two pairs of parallel edges, opposite eachother|7
what,area,square\l^2|10
what,square:a quadrilateral with equal length sides and only right angles|7
what,trapezoid:a quadrilateral with two parallel sides, with one parallel side being shorter than the other|7
what,rhombus:a quadrilateral with two pairs of parallel sides|7
what,pentagon:a polygon with 5 sides and angles|7
what,hexagon:a polygon with 6 sides and angles|7
what,heptagon:a polygon with 7 sides and angles|7
what,octagon:a polygon with 8 sides and angles|7
what,nonagon:a polygon with 9 sides and angles|7
what,decagon:a polygon with 10 sides and angles|7
what,hexahectaenneacontakaiheptagon:Colorado|7
what,with,3,sides:a triangle is a shape with 3 sides|10
what,with,4,sides:a quadrilateral is a shape with 4 sides|10
what,with,5,sides:a pentagon is a shape with 5 sides|10
what,with,6,sides:a hexagon is a shape with 6 sides|10
what,with,7,sides:a heptagon is a shape with 7 sides|10
what,with,8,sides:an octagon is a shape with 8 sides|10
what,with,9,sides:a nonagon is a shape with 9 sides|10
what,with,10 sides:a decagon is a shape with 10 sides|10
what,area,circle\pi*r^2|10
what,circle:a set of points in 2d space defined by being a set distance (radius) from a single point (focus)|7
what,eccentricity,ellipse\sqrt(1-b^2/a^2)|8
what,foci,ellipse\[sqrt(a^2-b^2),-sqrt(a^2-b^2)]|8
what,formula,ellipse\(x-x1)^2/a^2+(y-y1)^2/b^2=1|8
what,ellipse:a set of points in 2d space such that the sum of the distances from each point to two set points (the foci) is always equal to a set value, or an elongated circle|7
what,sphere:a set of points in 3d space defined by being a set distance (radius) from a single point (focus)|7
what,tetrahedron:a regular polyhedron with 4 faces, each being an equilateral triangle|7
what,cube:a regular polyhedron with 6 faces, each being a square|7
what,octagon:a regular polyhedron with 8 faces, each being an equilateral triangle|7
what,dodecahedron:a regular polyhedron with 12 faces, each being an equilateral triangle|7
what,icosahedron:a regular polyhedron with 20 faces, each being an equilateral triangle|7
what,prism:a prism is a 3d shape formed by extruding a face|8
what,pyramid:a pyramid is a 3d shape formed by extruding the angles of a face up to single point, forming triangular sides|8
what,simplex:a k-dimensional generalization of the 2 dimensional triangle and the 3 dimensional tetrahedron, specifically when referring to higher dimensions (k > 4), or the username of the person who wrote this!|7
what,5,cell:a regular polychoron with 5 cells, each being a tetrahedron|8
what,16,cell:a regular polychoron with 16 cells, each being a tetrahedron|8
what,8,cell:a regular polychoron with 8 cells, each being a cube|8
what,hypercube:a regular polychoron with 8 cells, each being a cube|7
